title,date,type_of_regulation,sector
BANK INDONESIA REGULATION NUMBER 12 OF 2023 ON ISSUANCE OF MONEY MARKET INSTRUMENTS AND MONEY MARKET TRANSACTIONS,16 November 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 6 OF 2023 ON MONEY MARKET AND FOREIGN EXCHANGE MARKET,27 June 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 4 OF 2023 ON SHORT-TERM LIQUIDITY ASSISTANCE FOR CONVENTIONAL COMMERCIAL BANKS,27 June 2023,Bank Indonesia Regulation,Macroprudential
BANK INDONESIA REGULATION NUMBER 24/2/PBI/2022 ON TRANSACTIONS BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,28 January 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 24/20/PBI/2022 ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,30 December 2022,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/22/PADG/2022 ON IMPLEMENTING REGULATION ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,29 December 2022,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/11/PADG/2022 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,8 July 2022,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 24/7/PBI/2022 ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,4 July 2022,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/10/PADG/2022 DATED 4 JULY 2022 ON IMPLEMENTING REGULATION ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,4 July 2022,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/2/PADG/2022 ON TRANSACTIONS OF SECURITIES UNDER CROSS CURRENCY REPURCHASE AGREEMENT IN RUPIAH AGAINST RINGGIT BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,25 February 2022,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 23/18/PBI/2021 ON MONETARY CONTROL,28 December 2021,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NOMOR 23/7/PBI/2021 ON PAYMENT SYSTEM INFRASTRUCTURE PROVIDERS,1 July 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 23/6/PBI/2021 ON PAYMENT SERVICE PROVIDERS,1 July 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 23/5/PBI/2021 ON MONITORING SYSTEM FOR TRANSACTIONS ON FOREIGN CURRENCIES AGAINST RUPIAH,25 May 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 23/4/PADG/2021 ON AMENDMENT TO REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,31 March 2021,Member Of The Board Of Governors Regulation,Payment System And Rupiah Management
