title,file_name,file_link
BANK INDONESIA REGULATION NUMBER 12 OF 2023 ON ISSUANCE OF MONEY MARKET INSTRUMENTS AND MONEY MARKET TRANSACTIONS,Bank Indonesia Regulation Number 12 of 2023.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_122023_EN.pdf
BANK INDONESIA REGULATION NUMBER 6 OF 2023 ON MONEY MARKET AND FOREIGN EXCHANGE MARKET,Bank Indonesia Regulation Number 6 of 2023.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_062023_EN.pdf
BANK INDONESIA REGULATION NUMBER 4 OF 2023 ON SHORT-TERM LIQUIDITY ASSISTANCE FOR CONVENTIONAL COMMERCIAL BANKS,Bank Indonesia Regulation Number 4 of 2023.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_042023_EN.pdf
BANK INDONESIA REGULATION NUMBER 24/2/PBI/2022 ON TRANSACTIONS BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,Bank Indonesia Regulation Number 24/2/PBI/2022.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_240222_EN.pdf
BANK INDONESIA REGULATION NUMBER 24/20/PBI/2022 ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Bank Indonesia Regulation Number 24/20/PBI/2022.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_242022_EN.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/22/PADG/2022 ON IMPLEMENTING REGULATION ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Regulation of Member of Board of Governors Number 24/22/PADG/2022.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG_242222_EN.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/22/PADG/2022 ON IMPLEMENTING REGULATION ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,Attachment Regulation of Member of Board of Governors Number 24/22/PADG/2022.zip,https://www.bi.go.id/en/publikasi/peraturan/Documents/Attachment_PADG_242222.zip
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/11/PADG/2022 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,Regulation Of Member Of Board Of Governors Number 24/11/PADG/2022,https://www.bi.go.id/en/publikasi/peraturan/Documents/PADG-241122.pdf
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/11/PADG/2022 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,Attachment Regulation Of Member Of Board Of Governors Number 24/11/PADG/2022,https://www.bi.go.id/en/publikasi/peraturan/Documents/Annex_PADG_241122.zip
BANK INDONESIA REGULATION NUMBER 24/7/PBI/2022 ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,Bank Indonesia Regulation Number 24/7/PBI/2022.pdf,https://www.bi.go.id/en/publikasi/peraturan/Documents/PBI_240722.pdf
