title,description
Advance Release Calendar (ARC),"The Advance Release Calendar (AOC) contains general information concerning the public release schedule for data/publications/statistics, informing when Bank Indonesia will release specific data/publications/statistics."
Bank,A business entity mobilising funds from the public in deposits and disbursing these funds to the public in credit and/or other forms for improving the living standards of the population
Bank Holding Company,Legal entity established and/or owned by a controlling shareholder for consolidating and exercising direct control over all activities of subsidiary banks
Bank Indonesia Certificate,Short term debt securities issued by Bank Indonesia dominated in Rupiah and used to manage the money supply in the OMO.
Bank Indonesia Certificate,A short-term discounted bearer promissory note in Rupiah issued by Bank Indonesia.
Bank Indonesia Certificates (SBIs),"Rupiah denominated securities issued by BI in exchange for short-term debt, comprising one of the instruments used in Open Market Operations"
Bank Indonesia Sharia Certificates (SBISs),Shariacompliant short-term securities issued in the rupiah currency by BI
Bank Indonesia-Real Time Gross Settlement System (BI-RTGS System),"Electronic fund transfer system in Rupiah currency among its members which settle the transaction in a real time basis, as defined in Bank Indonesia regulation concerning the BI-RTGS System."
Basel Capital Accord,The capital measurement system introduced by BCBS in 1988
Basel Core Principles,Effective fulfilment of banking supervision principles
BASEL II,"This document is a revision of the International Convergence of Capital Measurement and Capital Standards issued by the Basel Committee on Banking Supervision (BCBS) in July 1988, otherwise known as BASEL I. The Basel I and Basel II framework is an international standard for measuring risk and capital adequacy in the banking system"
BI Call Money,"Fund placements at Bank Indonesia in the form of call money, comprising rupiah intervention by Bank Indonesia in open market operations (OMOs)"
BI Rate,Reference rate announced periodically to public by Bank Indonesia for a certain period of time as a signal of monetary policy stance.
Business continuity management,Risk management to ensure critical functions during disruptions as well as having an effective recovery process
Business continuity management,Risk management to ensure critical functions during disruptions as well as having effective recovery process
Capital Adequacy Ratio (CAR),Ratio of capital in comparison with Risk Weighted Assets.
Capital Reserve,Comprises of general reserve and appropriated reserves.
Certificate of Deposit,Fixed deposit for which the certificate issued in exchange is negotiable
Checking Accounts,"Third party funds comprising deposits of rupiah and foreign currencies, which can be withdrawn at any time by using checks or other similar instruments."
Classified Earning Assets,Earning assets that no longer or could potentially cease to generate returns or are incurring losses
Commercial Bank,"Bank conducting conventional business operations and/or operations based on Sharia Principles, which in the course of its business provides clearing payment services"
Compliance Director,"A member of board of directors of a bank or a member of management of a foreign bank offices whose task is to determine the measures required to ensure the compliance of the bank with Bank Indonesia regulations, other prevailing laws and regulations, and agreements and commitments with Bank Indonesia."
Consolidated Bank Supervision,"Supervision of banks on a consolidated basis, extending downstream to subsidiaries and upstream to the holding company. The method of consolidated bank supervision is supplementary to the solo-basis method of bank supervision customarily applied by the supervisory authority. When using the consolidated supervision method, the supervisory authority incorporates potential risk in the subsidiaries and holding company of the bank"
Contractionary Fine Tune,A transaction in the context of OMO for the purpose of absorbing banking liquidity in a short term period.
Controlling Shareholder,"Legal and/or natural person and/or business group: 1) holding 25% or more of the total shares issued by a bank with voting rights; 2) owning bank shares at less than 25% of the total shares issued by the bank with voting rights, but can be proven to exercise direct or indirect control of the bank"
Cost of loanable funds,"includes interest on funds, overhead costs, the deposit insurance premium and minimum reserve requirement"
Credit,"Provision of funds or equivalent claims based on a loan agreement between a bank and another party requiring the borrowing party to repay the debt at a specified term with interest, including: 1. purchase of customer securities against a Note Purchase Agreement (NPA), and 2. takeover of claims for factoring purposes"
Credit Risk,"the risk of loss due to a debtor's possibility of default, or non-payment of a loan"
Crisis Management Protocol (CMP),"A framework that details the measures, roles and responsibilities of the relevant authorities in handling a crisis to minimize the resultant economic losses"
Crisis prevention,efforts to prevent crisis through policies for micro prudential regulation and supervision of financial institutions and financial markets as well as macro prudential surveillance of the financial system
Crisis resolution,efforts to overcome crisis including restructuring and recapitalising banks with systemic effects
Demand deposit accounts,"Accounts from which funds may be drawn by cheque, clearing payment order (bilyet giro), other payment order or by bookkeeping transfer"
