title,link
BANK INDONESIA REGULATION NUMBER 12 OF 2023 ON ISSUANCE OF MONEY MARKET INSTRUMENTS AND MONEY MARKET TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_122023.aspx
BANK INDONESIA REGULATION NUMBER 6 OF 2023 ON MONEY MARKET AND FOREIGN EXCHANGE MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_062023.aspx
BANK INDONESIA REGULATION NUMBER 4 OF 2023 ON SHORT-TERM LIQUIDITY ASSISTANCE FOR CONVENTIONAL COMMERCIAL BANKS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_042023.aspx
BANK INDONESIA REGULATION NUMBER 24/2/PBI/2022 ON TRANSACTIONS BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_240222.aspx
BANK INDONESIA REGULATION NUMBER 24/20/PBI/2022 ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_242022.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/22/PADG/2022 ON IMPLEMENTING REGULATION ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_242222.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/11/PADG/2022 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_241122.aspx
BANK INDONESIA REGULATION NUMBER 24/7/PBI/2022 ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_240722.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/10/PADG/2022 DATED 4 JULY 2022 ON IMPLEMENTING REGULATION ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_241022.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/2/PADG/2022 ON TRANSACTIONS OF SECURITIES UNDER CROSS CURRENCY REPURCHASE AGREEMENT IN RUPIAH AGAINST RINGGIT BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_240222.aspx
BANK INDONESIA REGULATION NUMBER 23/18/PBI/2021 ON MONETARY CONTROL,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_231821.aspx
BANK INDONESIA REGULATION NOMOR 23/7/PBI/2021 ON PAYMENT SYSTEM INFRASTRUCTURE PROVIDERS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_230721.aspx
BANK INDONESIA REGULATION NUMBER 23/6/PBI/2021 ON PAYMENT SERVICE PROVIDERS,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_230621.aspx
BANK INDONESIA REGULATION NUMBER 23/5/PBI/2021 ON MONITORING SYSTEM FOR TRANSACTIONS ON FOREIGN CURRENCIES AGAINST RUPIAH,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_230521.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 23/4/PADG/2021 ON AMENDMENT TO REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PADG_230421.aspx
BANK INDONESIA REGULATION NUMBER 23/4/PBI/2021 ON THE FOURTH AMENDMENT TO BANK INDONESIA REGULATION NUMBER 15/17/PBI/2013 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_230421.aspx
BANK INDONESIA REGULATION NUMBER 22/23/PBI/2020 ON PAYMENT SYSTEM,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2020 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_221420.aspx
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2022 ON MONETARY OPERATION,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_221422.aspx
REGULATION OF MEMBER OF BOARD OF GOVERNORS NO. 22/20/PADG/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS BETWEEN INDONESIA AND JAPAN USING RUPIAH AND YEN THROUGH BANK,https://www.bi.go.id/en/publikasi/peraturan/Pages/padg_222020.aspx
