title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,doc_id
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,1
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- Abstrak SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/Abstrak%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_abstrak_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,2
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- FAQ SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/FAQ%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf,ojk-surat_edaran_ojk-4_seojk_05_2024-01072024-dasar_penilaian_investasi_dana_pensiun_faq_seojk_4_seojk_05_2024_dasar_penilaian_investasi_dana_pensiun_pdf.pdf,3
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis -- SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_berbasis_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_pen.pdf,4
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Ber -- Abstrak SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/Abstrak%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_ber_abstrak_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_.pdf,5
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasi -- FAQ SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/FAQ%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf,ojk-surat_edaran_ojk-1_seojk_06_2024-01072024-tata_cara_dan_mekanisme_penyampaian_data_transaksi_pendanaan_dan_pelaporan_penyelenggara_layanan_pendanaan_bersama_berbasi_faq_seojk_1_seojk_06_2024_tata_cara_dan_mekanisme_penyampaian_data_transaksi_.pdf,6
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,7
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- Abstrak POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/Abstrak%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_abstrak_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,8
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- FAQ POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/FAQ%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf,ojk-peraturan_ojk-8_tahun_2024-05062024-pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_faq_pojk_8_tahun_2024_produk_asuransi_dan_saluran_pemasaran_produk_asuransi_pdf.pdf,9
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-surat_edaran_ojk-6_seojk_07_2024-03062024-pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_seojk_6_seojk_07_2024_pendaftaran_penyelenggara_inovasi_teknologi_sektor_keuangan_pdf.pdf,10
