title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Surat Edaran Bank Indonesia Nomor 15/50/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-50-dpbs.aspx,,,,15/50/DPbS,30 Dec 2013,Documents -- se_155013_1389697042.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/se_155013_1389697042.pdf
Surat Edaran Bank Indonesia Nomor 15/50/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-50-dpbs.aspx,,,,15/50/DPbS,30 Dec 2013,2013 -- faq_se_155013.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_155013.pdf
Surat Edaran Bank Indonesia Nomor 15/50/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-50-dpbs.aspx,,,,15/50/DPbS,30 Dec 2013,2013 -- lamp_se_155013.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/lamp_se_155013.pdf
Surat Edaran Bank Indonesia Nomor 15/51/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-51-dpbs.aspx,,,,15/51/DPbS,30 Dec 2013,Documents -- se_155113_1389696743.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/se_155113_1389696743.pdf
Surat Edaran Bank Indonesia Nomor 15/51/DPbS,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-51-dpbs.aspx,,,,15/51/DPbS,30 Dec 2013,2013 -- faq_se_155113.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_155113.pdf
Surat Edaran Bank Indonesia Nomor 15/49/DPKL,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-49-dpkl.aspx,,,,15/49/DPKL,5 Dec 2013,Documents -- 2.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/2.pdf
Surat Edaran Bank Indonesia Nomor 15/49/DPKL,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-49-dpkl.aspx,,,,15/49/DPKL,5 Dec 2013,2013 -- Lampiran_se_1549_13.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/Lampiran_se_1549_13.pdf
Surat Edaran Bank Indonesia Nomor 15/45/DPNP/2013,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-45-dpnp-2013.aspx,,,,15/45/DPNP/2013,18 Nov 2013,Documents -- 4.pdf,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Documents/4.pdf
Surat Edaran Bank Indonesia Nomor 15/45/DPNP/2013,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-45-dpnp-2013.aspx,,,,15/45/DPNP/2013,18 Nov 2013,2013 -- Lampiran_154513.zip,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/Lampiran_154513.zip
Surat Edaran Bank Indonesia Nomor 15/45/DPNP/2013,https://www.ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-45-dpnp-2013.aspx,,,,15/45/DPNP/2013,18 Nov 2013,2013 -- faq_se_154513.pdf,https://www.ojk.go.id/Files/regulasi/perbankan/se-bi/2013/faq_se_154513.pdf
