Title,URL,Description,status,Web URL,Nomor Regulasi
Surat Edaran Bank Indonesia Nomor 15/50/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-50-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 15/50/DPbS tanggal 30 Desember 2013 perihal Perubahan Atas Surat Edaran Bank Indonesia No. 11/9/DPbS tanggal 7 April 2009 perihal Bank Umum Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/50/DPbS
Surat Edaran Bank Indonesia Nomor 15/51/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-51-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 15/51/DPbS tanggal 30 Desember 2013 perihal Perubahan Atas Surat Edaran Bank Indonesia Nomor 11/28/DPbS tanggal 5 Oktober 2009 perihal Unit Usaha Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/51/DPbS
Surat Edaran Bank Indonesia Nomor 15/49/DPKL,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-49-dpkl.aspx,Surat Edaran Bank Indonesia Nomor 15/49/DPKL Tanggal 5 Desember 2013 perihal Lembaga Pengelola Informasi Perkreditan,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/49/DPKL
Surat Edaran Bank Indonesia Nomor 15/45/DPNP/2013,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-45-dpnp-2013.aspx,Surat Edaran Bank Indonesia Nomor 15/45/DPNP/2013 tanggal 18 November 2013 tentang Perubahan atas Surat Edaran Bank Indonesia Nomor 14/36/DKBU tanggal 21 Desember 2012 perihal Uji Kemampuan dan Kepatutan (Fit and Proper Test) Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/45/DPNP/2013
Surat Edaran Bank Indonesia Nomor 15/44/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-44-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 15/44/DPbS tanggal 22 Oktober 2013 perihal Fasilitas Pendanaan Jangka Pendek Syariah bagi Bank Umum Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/44/DPbS
Surat Edaran Bank Indonesia Nomor 15/43/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-43-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/43/DPNP tanggal 21 Oktober 2013 tentang Perubahan atas Surat Edaran Bank Indonesia Nomor 15/29/DKBU tanggal 31 Juli 2013 Perihal Laporan Tahunan dan Laporan Keuangan Publikasi Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/43/DPNP
Surat Edaran Bank Indonesia Nomor 15/41/DKMP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-41-dkmp.aspx,Surat Edaran Bank Indonesia No. 15/41/DKMP Tanggal 1 Oktober 2013 Perihal Perhitungan Giro Wajib Minimum Sekunder dan Giro Wajib Minimum Berdasarkan Loan to Deposit Ratio dalam Rupiah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/41/DKMP
Surat Edaran Bank Indonesia Nomor 15/40/DKMP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-40-dkmp.aspx,"Surat Edaran Bank Indonesia Nomor 15/40/DKMP tanggal 24 September 2013 perihal Penerapan Manajemen Risiko pada Bank yang Melakukan Pemberian Kredit atau Pembiayaan Pemilikan Properti, Kredit atau Pembiayaan Konsumsi Beragun Properti, dan Kredit atau Pembiayaan Kendaraan Bermotor",Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/40/DKMP
Surat Edaran Bank Indonesia Nomor 15/39/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-39-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/39/DPNP tanggal 17 September 2013 tentang Perubahan atas Surat Edaran Bank Indonesia Nomor 15/20/DKBU tanggal 22 MEI 2013 Perihal Laporan Bulanan Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/39/DPNP
Surat Edaran Bank Indonesia Nomor 15/35/DPAU,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-35-dpau.aspx,"Surat Edaran Bank Indonesia Nomor 15/35/DPAU tanggal 29 Agustus 2013 perihal Pemberian Kredit atau Pembiayaan oleh Bank Umum dan Bantuan Teknis dalam rangka Pengembangan Usaha Mikro, Kecil, dan Menengah",Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/35/DPAU
Surat Edaran Bank Indonesia Nomor 15/28/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-28-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/28/DPNP tanggal 31 Juli 2013 perihal Penilaian Kualitas Aset Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/28/DPNP
Surat Edaran Bank Indonesia Nomor 15/29/DKBU,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-29-dkbu.aspx,Surat Edaran Bank Indonesia Nomor 15/29/DKBU tanggal 31 Juli 2013 tentang Laporan Tahunan dan Laporan Keuangan Publikasi Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/29/DKBU
Surat Edaran Bank Indonesia Nomor 15/27/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-27-dpnp.aspx,Surat Edaran Eksternal Bank Indonesia Nomor: 15/27/DPNP tanggal 19 Juli 2013 Perihal Persyaratan Bank Umum untuk Melakukan Kegiatan Usaha dalam Valuta Asing,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/27/DPNP
Surat Edaran Bank Indonesia Nomor 15/26/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-26-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 15/26/DPbS perihal Pelaksanaan Pedoman Akuntansi Perbankan Syariah Indonesia,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/26/DPbS
Surat Edaran Bank Indonesia Nomor 15/25/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-25-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/25/DPNP tanggal 9 Juli 2013 perihal Pencabutan Beberapa Surat Edaran Bank Indonesia,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/25/DPNP
Surat Edaran Bank Indonesia Nomor 15/22/DPbS,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-22-dpbs.aspx,Surat Edaran Bank Indonesia Nomor 15/22/DPbS tanggal 27 Juni 2013 perihal Pedoman Pelaksanaan Tugas dan Tanggung Jawab Dewan Pengawas Syariah Bank Pembiayaan Rakyat Syariah,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/22/DPbS
Surat Edaran Bank Indonesia Nomor 15/21/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-21-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/21/DPNP Tanggal 14 Juni 2013 Tentang Penerapan Program Anti Pencucian Uang Dan Pencegahan Pendanaan Terorisme Bagi Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/21/DPNP
Surat Edaran Bank Indonesia Nomor 15/20/DKBU,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-20-dkbu.aspx,Surat Edaran Bank Indonesia Nomor 15/20/DKBU tanggal 22 Mei 2013 perihal Laporan Bulanan Bank Perkreditan Rakyat,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/20/DKBU
Surat Edaran Bank Indonesia Nomor 15/15/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-15-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/15/DPNP tanggal 29 April 2013 perihal Pelaksanaan Good Corporate Governance Bagi Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/15/DPNP
Surat Edaran Bank Indonesia Nomor 15/14/DPNP,/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/Pages/surat-edaran-bank-indonesia-nomor-15-14-dpnp.aspx,Surat Edaran Bank Indonesia Nomor 15/14/DPNP Tanggal 24 April 2013 Perihal Perubahan Ketiga atas Surat Edaran Bank Indonesia Nomor 8/15/DPNP Tanggal 12 Juli 2006 perihal Laporan Berkala Bank Umum,Success,https://ojk.go.id/id/kanal/perbankan/regulasi/surat-edaran-bank-indonesia/default.aspx,15/14/DPNP
